,Unnamed: 0,INSTNM,CITY,STABBR,ZIP,INSTURL,ADM_RATE,TUITIONFEE_IN,TUITIONFEE_OUT,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTM75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG
0,643,American University,Washington,DC,20016-8001,WWW.AMERICAN.EDU,0.294,46615.0,46615.0,610.0,690.0,570.0,660.0,570.0,670.0,650.0,615.0,,26.0,30.0,26.0,33.0,24.0,,8.0,10.0,28.0,30.0,26.0,9.0,1294.0
1,2199,Barnard College,New York,NY,10027-6598,www.barnard.edu,0.1542,52662.0,52662.0,660.0,760.0,650.0,740.0,650.0,740.0,710.0,695.0,,30.0,33.0,32.0,35.0,27.0,,,,32.0,34.0,30.0,,1430.0
2,807,Berry College,Mount Berry,GA,30149,www.berry.edu,0.616,35176.0,35176.0,570.0,660.0,550.0,640.0,510.0,610.0,615.0,595.0,,24.0,29.0,24.0,30.0,22.0,,,,27.0,27.0,25.0,,1247.0
3,224,California State University-East Bay,Hayward,CA,94542,www.csueastbay.edu,0.7405,6834.0,18714.0,,,,,,,,,,,,,,,,,,,,,,
4,222,California State University-Fresno,Fresno,CA,93740,www.fresnostate.edu/,0.5941,6585.0,18465.0,460.0,560.0,450.0,550.0,,,510.0,500.0,,16.0,22.0,15.0,22.0,16.0,,,,19.0,19.0,20.0,,1004.0
5,4466,California State University-Monterey Bay,Seaside,CA,93955-8001,www.csumb.edu,0.532,7043.0,18923.0,490.0,590.0,480.0,580.0,,,540.0,530.0,,18.0,24.0,17.0,24.0,17.0,,,,21.0,21.0,21.0,,1068.0
6,2484,Campbell University,Buies Creek,NC,27506,www.campbell.edu,0.8058,31190.0,31190.0,500.0,600.0,510.0,590.0,430.0,530.0,550.0,550.0,,20.0,25.0,18.0,24.0,19.0,,,,23.0,21.0,22.0,,1113.0
7,2967,Carnegie Mellon University,Pittsburgh,PA,15213-3890,www.cmu.edu/,0.222,53910.0,53910.0,700.0,760.0,730.0,800.0,670.0,760.0,730.0,765.0,,32.0,35.0,32.0,35.0,32.0,,,,34.0,34.0,34.0,,1506.0
8,587,Central Connecticut State University,New Britain,CT,06050,www2.ccsu.edu/,0.6676,10225.0,22914.0,500.0,590.0,480.0,570.0,460.0,550.0,545.0,525.0,,19.0,24.0,18.0,24.0,17.0,,6.0,8.0,22.0,21.0,21.0,7.0,1071.0
9,1299,Centre College,Danville,KY,40422-1394,https://www.centre.edu,0.7632,40500.0,40500.0,590.0,680.0,580.0,730.0,,,635.0,655.0,,26.0,31.0,26.0,34.0,25.0,,,,29.0,30.0,28.0,,1334.0
10,2227,Clarkson University,Potsdam,NY,13699,https://www.clarkson.edu,0.6571,47950.0,47950.0,563.0,650.0,580.0,680.0,490.0,600.0,607.0,630.0,,24.0,29.0,22.0,28.0,25.0,,,,27.0,25.0,27.0,,1247.0
11,2231,Colgate University,Hamilton,NY,13346-1398,www.colgate.edu,0.2814,53980.0,53980.0,660.0,730.0,650.0,770.0,,,695.0,710.0,,31.0,33.0,31.0,35.0,28.0,,,,32.0,33.0,31.0,,1443.0
12,533,Colorado College,Colorado Springs,CO,80903,www.coloradocollege.edu,0.1513,52818.0,52818.0,,,,,,,,,,,,,,,,,,,,,,
13,943,DePaul University,Chicago,IL,60604,https://www.depaul.edu,0.7174,39010.0,39010.0,,,,,,,,,,,,,,,,,,,,,,
14,1089,DePauw University,Greencastle,IN,46135-1772,www.depauw.edu,0.6725,47838.0,47838.0,560.0,650.0,550.0,680.0,520.0,620.0,605.0,615.0,,24.0,29.0,23.0,28.0,23.0,,,,27.0,26.0,27.0,,1248.0
15,1163,Drake University,Des Moines,IA,50311-4505,www.drake.edu,0.688,39062.0,39062.0,540.0,660.0,560.0,690.0,,,600.0,625.0,,24.0,30.0,24.0,29.0,24.0,,,,27.0,27.0,28.0,,1285.0
16,2985,Drexel University,Philadelphia,PA,19104,www.drexel.edu,0.7904,52002.0,52002.0,580.0,670.0,580.0,690.0,,,625.0,635.0,,24.0,30.0,23.0,31.0,24.0,,,,27.0,27.0,27.0,,1269.0
17,947,Eastern Illinois University,Charleston,IL,61920,https://www.eiu.edu/,0.5151,11678.0,13868.0,,,,,,,,,,18.0,23.0,17.0,23.0,16.0,,,,21.0,20.0,20.0,,1045.0
18,3732,Eastern Washington University,Cheney,WA,99004-2496,www.ewu.edu,0.9620000000000001,7109.0,23862.0,440.0,530.0,430.0,560.0,410.0,520.0,485.0,495.0,,17.0,24.0,16.0,23.0,17.0,,6.0,8.0,21.0,20.0,21.0,7.0,995.0
19,4743,Florida Gulf Coast University,Fort Myers,FL,33965-6565,www.fgcu.edu,0.6426,6118.0,25162.0,540.0,610.0,520.0,600.0,480.0,560.0,575.0,560.0,,21.0,25.0,21.0,26.0,20.0,,7.0,8.0,23.0,24.0,23.0,8.0,1141.0
20,2278,Fordham University,Bronx,NY,10458,www.fordham.edu,0.4644,50986.0,50986.0,620.0,700.0,610.0,710.0,590.0,680.0,660.0,660.0,,27.0,31.0,27.0,34.0,26.0,,8.0,9.0,29.0,31.0,28.0,9.0,1337.0
21,3006,Franklin and Marshall College,Lancaster,PA,17604-3003,WWW.FANDM.EDU,0.3411,54380.0,54380.0,,,,,,,,,,,,,,,,,,,,,,
22,3007,Gannon University,Erie,PA,16541-0001,www.gannon.edu,0.799,30932.0,30932.0,500.0,610.0,490.0,610.0,,,555.0,550.0,,20.0,26.0,20.0,26.0,19.0,,,,23.0,23.0,23.0,,1119.0
23,3009,Gettysburg College,Gettysburg,PA,17325,WWW.GETTYSBURG.EDU,0.45799999999999996,52640.0,52640.0,,,,,,,,,,,,,,,,,,,,,,
24,1553,Gordon College,Wenham,MA,01984,www.gordon.edu,0.8889,36740.0,36740.0,540.0,650.0,510.0,640.0,460.0,620.0,595.0,575.0,,22.0,29.0,22.0,30.0,20.0,,8.0,9.0,26.0,26.0,24.0,9.0,1189.0
25,148,Hendrix College,Conway,AR,72032-3080,www.hendrix.edu,0.7979999999999999,44070.0,44070.0,560.0,710.0,540.0,700.0,,,635.0,620.0,,24.0,31.0,25.0,34.0,24.0,,,,28.0,30.0,27.0,,1295.0
26,1676,Hope College,Holland,MI,49422-9000,https://www.hope.edu,0.7363,32780.0,32780.0,550.0,660.0,540.0,660.0,,,605.0,600.0,,24.0,29.0,23.0,30.0,23.0,,,,27.0,27.0,26.0,,1240.0
27,890,Idaho State University,Pocatello,ID,83209,www.isu.edu/,,7166.0,21942.0,,,,,,,,,,,,,,,,,,,,,,
28,971,Illinois College,Jacksonville,IL,62650-2299,www.ic.edu,0.5487,32140.0,32140.0,,,,,,,,,,,,,,,,,,,,,,
29,1112,Indiana University-Bloomington,Bloomington,IN,47405-7000,www.indiana.edu/,0.7601,10533.0,34845.0,570.0,670.0,570.0,680.0,510.0,620.0,620.0,625.0,,25.0,31.0,24.0,32.0,24.0,,8.0,9.0,28.0,28.0,27.0,9.0,1285.0
30,2294,Iona College,New Rochelle,NY,10801-1890,www.iona.edu,0.922,37682.0,37682.0,500.0,590.0,480.0,590.0,,,545.0,535.0,,20.0,25.0,,,,,,,23.0,,,,1090.0
31,2698,John Carroll University,University Heights,OH,44118-4581,sites.jcu.edu/,0.8503,39990.0,39990.0,510.0,570.0,490.0,570.0,480.0,590.0,540.0,530.0,,22.0,27.0,21.0,28.0,21.0,,7.0,8.0,25.0,25.0,24.0,8.0,1161.0
32,1678,Kalamazoo College,Kalamazoo,MI,49006-3295,www.kzoo.edu,0.7338,46840.0,46840.0,600.0,690.0,580.0,690.0,,,645.0,635.0,,26.0,30.0,25.0,33.0,25.0,,,,28.0,29.0,28.0,,1306.0
33,6437,Kennesaw State University,Kennesaw,GA,30144,www.kennesaw.edu,0.6063,6347.0,17329.0,550.0,630.0,530.0,610.0,470.0,570.0,590.0,570.0,,21.0,26.0,21.0,25.0,20.0,,6.0,8.0,24.0,23.0,23.0,7.0,1163.0
34,1686,Lawrence Technological University,Southfield,MI,48075-1058,www.ltu.edu,0.5964,32190.0,32190.0,470.0,650.0,480.0,680.0,410.0,550.0,560.0,580.0,,21.0,28.0,16.0,29.0,22.0,,,,25.0,23.0,26.0,,1163.0
35,2314,Manhattan College,Riverdale,NY,10471-4098,www.manhattan.edu,0.7539,41412.0,41412.0,530.0,623.0,520.0,620.0,480.0,590.0,577.0,570.0,,23.0,28.0,23.0,30.0,22.0,,,,26.0,27.0,25.0,,1169.0
36,1575,Massachusetts Institute of Technology,Cambridge,MA,02139-4307,web.mit.edu/,0.0717,49892.0,49892.0,720.0,770.0,770.0,800.0,690.0,780.0,745.0,785.0,,33.0,35.0,34.0,36.0,34.0,,8.0,10.0,34.0,35.0,35.0,9.0,1532.0
37,847,Mercer University,Macon,GA,31207,www.mercer.edu,0.7326,36000.0,36000.0,590.0,670.0,580.0,670.0,530.0,625.0,630.0,625.0,,25.0,30.0,24.0,28.0,24.0,,,,28.0,26.0,28.0,,1285.0
38,1581,Merrimack College,North Andover,MA,01845,https://www.merrimack.edu,0.8154,40190.0,40190.0,,,,,,,,,,,,,,,,,,,,,,
39,1849,Mississippi State University,Mississippi State,MS,39762,www.msstate.edu,0.624,8318.0,22358.0,,,,,,,,,,21.0,28.0,21.0,30.0,20.0,,,,25.0,26.0,24.0,,1195.0
40,1921,Missouri University of Science and Technology,Rolla,MO,65409,www.mst.edu/,0.8351,9246.0,25918.0,520.0,640.0,580.0,700.0,490.0,640.0,580.0,640.0,,25.0,31.0,24.0,31.0,26.0,,7.0,8.0,28.0,28.0,28.0,8.0,1323.0
41,3067,Moravian College,Bethlehem,PA,18018-6650,www.moravian.edu,0.7597,42024.0,42024.0,510.0,610.0,500.0,600.0,430.0,550.0,560.0,550.0,,21.0,27.0,20.0,26.0,18.0,,,,24.0,23.0,22.0,,1121.0
42,1585,Mount Holyoke College,South Hadley,MA,01075-1489,https://www.mtholyoke.edu,0.5084,47940.0,47940.0,640.0,713.0,630.0,750.0,,,677.0,690.0,,29.0,33.0,29.0,35.0,27.0,,,,31.0,32.0,31.0,,1393.0
43,2116,New Jersey Institute of Technology,Newark,NJ,07102,www.njit.edu/,0.6139,16898.0,31918.0,580.0,670.0,610.0,700.0,510.0,630.0,625.0,655.0,,24.0,30.0,22.0,31.0,25.0,,,,27.0,27.0,28.0,,1282.0
44,2351,New York University,New York,NY,10012-1091,www.nyu.edu,0.2766,50464.0,50464.0,650.0,730.0,640.0,760.0,630.0,730.0,690.0,700.0,,29.0,33.0,,,,,,,31.0,,,,1408.0
45,1023,North Park University,Chicago,IL,60625-4895,www.northpark.edu,0.5373,28620.0,28620.0,490.0,600.0,510.0,590.0,450.0,570.0,545.0,550.0,,19.0,24.0,18.0,24.0,17.0,,,,22.0,21.0,21.0,,1086.0
46,1027,Northwestern University,Evanston,IL,60208,www.northwestern.edu,0.0924,52678.0,52678.0,700.0,770.0,720.0,790.0,680.0,770.0,735.0,755.0,,32.0,34.0,32.0,34.0,32.0,,8.0,10.0,33.0,33.0,33.0,9.0,1500.0
47,736,Nova Southeastern University,Fort Lauderdale,FL,33314-7796,www.nova.edu,0.5817,29880.0,29930.0,550.0,640.0,530.0,640.0,,,595.0,585.0,,23.0,28.0,22.0,30.0,22.0,,,,26.0,26.0,25.0,,1201.0
48,2123,Princeton University,Princeton,NJ,08544-0070,www.princeton.edu,0.0641,47140.0,47140.0,710.0,780.0,720.0,790.0,710.0,790.0,745.0,755.0,,31.0,35.0,33.0,35.0,30.0,,8.0,10.0,33.0,34.0,33.0,9.0,1500.0
49,3194,Providence College,Providence,RI,02918-0001,www.providence.edu,0.5152,48764.0,48764.0,580.0,660.0,580.0,670.0,,,620.0,625.0,,26.0,30.0,25.0,32.0,24.0,,,,28.0,29.0,27.0,,1274.0
50,2918,Reed College,Portland,OR,97202-8199,https://www.reed.edu,0.3563,54200.0,54200.0,670.0,740.0,640.0,760.0,640.0,730.0,705.0,700.0,,30.0,33.0,30.0,35.0,27.0,,,,32.0,33.0,30.0,,1427.0
51,3510,Rice University,Houston,TX,77005-1827,www.rice.edu,0.1586,45608.0,45608.0,730.0,780.0,760.0,800.0,680.0,770.0,755.0,780.0,,33.0,35.0,33.0,35.0,31.0,,8.0,10.0,34.0,34.0,33.0,9.0,1535.0
52,2127,Rider University,Lawrenceville,NJ,08648-3099,www.rider.edu,0.6712,41310.0,41310.0,500.0,600.0,490.0,590.0,450.0,540.0,550.0,540.0,,19.0,26.0,19.0,26.0,17.0,,,,23.0,23.0,21.0,,1097.0
53,2377,Rochester Institute of Technology,Rochester,NY,14623-5603,www.rit.edu/,0.5672,40068.0,40068.0,590.0,680.0,600.0,700.0,520.0,630.0,635.0,650.0,,26.0,32.0,24.0,31.0,26.0,,,,29.0,28.0,29.0,,1315.0
54,3199,Roger Williams University,Bristol,RI,02809-2921,https://www.rwu.edu,0.8229,33336.0,33336.0,,,,,,,,,,,,,,,,,,,,,,
55,2415,SUNY College of Environmental Science and Forestry,Syracuse,NY,13210,www.esf.edu,0.5215,8543.0,18193.0,580.0,650.0,570.0,650.0,,,615.0,610.0,,24.0,28.0,22.0,28.0,23.0,,,,26.0,25.0,25.0,,1235.0
56,1938,Saint Louis University,Saint Louis,MO,63103-2097,www.slu.edu,0.6443,42166.0,42166.0,590.0,690.0,580.0,700.0,,,640.0,640.0,,25.0,31.0,25.0,33.0,24.0,,,,28.0,29.0,27.0,,1319.0
57,3200,Salve Regina University,Newport,RI,02840-4192,www.salve.edu,0.7189,38986.0,38986.0,,,,,,,,,,,,,,,,,,,,,,
58,46,Samford University,Birmingham,AL,35229-2240,www.samford.edu,0.8319,30490.0,30490.0,550.0,650.0,530.0,630.0,500.0,610.0,600.0,580.0,,23.0,29.0,24.0,31.0,22.0,,,,26.0,28.0,25.0,,1230.0
59,449,San Diego State University,San Diego,CA,92182-0001,www.sdsu.edu,0.3542,7460.0,19340.0,550.0,640.0,540.0,650.0,,,595.0,595.0,,23.0,28.0,22.0,28.0,22.0,,,,26.0,25.0,25.0,,1206.0
60,904,School of the Art Institute of Chicago,Chicago,IL,60603,www.saic.edu,0.6982,49610.0,49610.0,580.0,670.0,530.0,670.0,520.0,630.0,625.0,600.0,,22.0,30.0,22.0,28.0,19.0,,7.0,9.0,26.0,25.0,23.0,8.0,1242.0
61,2394,Siena College,Loudonville,NY,12211-1462,https://www.siena.edu,0.7785,35735.0,35735.0,,,,,,,,,,,,,,,,,,,,,,
62,1612,Smith College,Northampton,MA,01063,www.smith.edu,0.3187,50044.0,50044.0,,,,,,,,,,,,,,,,,,,,,,
63,2384,St Bonaventure University,Saint Bonaventure,NY,14778-9800,www.sbu.edu,0.7053,33331.0,33331.0,510.0,610.0,510.0,610.0,445.0,550.0,560.0,560.0,,21.0,27.0,20.0,26.0,19.0,,7.0,8.0,24.0,23.0,23.0,8.0,1140.0
64,1501,Stevenson University,Stevenson,MD,21153-0641,www.stevenson.edu,0.6087,35490.0,35490.0,510.0,600.0,500.0,590.0,450.0,550.0,555.0,545.0,,19.0,24.0,19.0,24.0,17.0,,,,22.0,22.0,21.0,,1097.0
65,2414,Stony Brook University,Stony Brook,NY,11794,https://www.stonybrook.edu,0.4219,9257.0,26767.0,590.0,680.0,620.0,730.0,540.0,660.0,635.0,675.0,,26.0,31.0,24.0,32.0,26.0,,7.0,9.0,29.0,28.0,29.0,8.0,1322.0
66,1618,Suffolk University,Boston,MA,02108-3901,www.suffolk.edu,0.8355,37270.0,37270.0,500.0,600.0,500.0,580.0,450.0,560.0,550.0,540.0,,21.0,26.0,,,,,,,24.0,,,,1102.0
67,3157,Temple University,Philadelphia,PA,19122-6096,www.temple.edu,0.5667,16658.0,28418.0,,,,,,,,,,,,,,,,,,,,,,
68,3552,Texas Christian University,Fort Worth,TX,76129,www.tcu.edu/,0.4108,44760.0,44760.0,570.0,660.0,560.0,670.0,530.0,640.0,615.0,615.0,,25.0,30.0,26.0,33.0,25.0,,,,28.0,30.0,27.0,,1285.0
69,3560,Texas Tech University,Lubbock,TX,79409-5005,www.ttu.edu,0.6918,8860.0,18652.0,540.0,620.0,530.0,620.0,470.0,570.0,580.0,575.0,,22.0,27.0,21.0,26.0,21.0,,6.0,8.0,25.0,24.0,24.0,7.0,1176.0
70,1806,The College of Saint Scholastica,Duluth,MN,55811-4199,www.css.edu,0.6825,36212.0,36212.0,510.0,670.0,510.0,630.0,370.0,490.0,590.0,570.0,,19.0,27.0,19.0,26.0,18.0,,,,23.0,23.0,23.0,,1141.0
71,2810,The College of Wooster,Wooster,OH,44691,www.wooster.edu,0.5644,48600.0,48600.0,570.0,680.0,580.0,700.0,540.0,650.0,625.0,640.0,,24.0,30.0,23.0,32.0,23.0,,8.0,9.0,27.0,28.0,26.0,9.0,1280.0
72,1349,Transylvania University,Lexington,KY,40508-1797,www.transy.edu,0.9547,37290.0,37290.0,,,,,,,,,,,,,,,,,,,,,,
73,5,The University of Alabama,Tuscaloosa,AL,35487-0166,www.ua.edu/,0.5329999999999999,10780.0,28100.0,530.0,640.0,520.0,640.0,480.0,600.0,585.0,580.0,,23.0,32.0,23.0,33.0,21.0,,7.0,8.0,28.0,28.0,25.0,8.0,1278.0
74,1,University of Alabama at Birmingham,Birmingham,AL,35294-0110,www.uab.edu,0.9181,8328.0,19032.0,440.0,630.0,550.0,740.0,,,535.0,645.0,,21.0,28.0,22.0,31.0,21.0,,,,25.0,27.0,24.0,,1195.0
75,79,University of Arizona,Tucson,AZ,85721-0066,www.arizona.edu,0.8358,11877.0,35307.0,,,,,,,,,,,,,,,,,,,,,,
76,127,University of Arkansas,Fayetteville,AR,72701,https://www.uark.edu,0.6596,9062.0,24308.0,560.0,640.0,550.0,640.0,,,600.0,595.0,,23.0,29.0,23.0,30.0,22.0,,,,26.0,27.0,25.0,,1239.0
77,230,University of California-Davis,Davis,CA,95616-8678,www.ucdavis.edu,0.4336,14419.0,42433.0,560.0,660.0,570.0,700.0,530.0,650.0,610.0,635.0,,25.0,32.0,23.0,31.0,25.0,,,,29.0,27.0,28.0,,1286.0
78,236,University of California-Santa Barbara,Santa Barbara,CA,93106,www.ucsb.edu,0.3281,14451.0,42465.0,600.0,680.0,590.0,720.0,510.0,630.0,640.0,655.0,,28.0,33.0,26.0,34.0,26.0,,,,31.0,30.0,29.0,,1346.0
79,237,University of California-Santa Cruz,Santa Cruz,CA,95064-1011,www.ucsc.edu/,0.5094,14020.0,42034.0,580.0,660.0,580.0,680.0,510.0,630.0,620.0,630.0,,26.0,31.0,24.0,31.0,25.0,,,,29.0,28.0,28.0,,1287.0
80,668,University of Central Florida,Orlando,FL,32816,www.ucf.edu/,0.499,6368.0,22467.0,580.0,660.0,570.0,660.0,510.0,610.0,620.0,615.0,,24.0,29.0,23.0,30.0,22.0,,,,27.0,27.0,25.0,,1249.0
81,638,University of Delaware,Newark,DE,19716,www.udel.edu/,0.6289,13160.0,33150.0,570.0,660.0,560.0,670.0,530.0,640.0,615.0,615.0,,25.0,29.0,24.0,31.0,24.0,,8.0,9.0,27.0,28.0,27.0,9.0,1250.0
82,602,University of Hartford,West Hartford,CT,06117-1599,www.hartford.edu,0.8089,38910.0,38910.0,520.0,620.0,510.0,610.0,,,570.0,560.0,,21.0,27.0,,,,,,,24.0,,,,1140.0
83,3456,University of Houston,Houston,TX,77204-2018,www.uh.edu/,0.6111,9706.0,22066.0,560.0,640.0,550.0,640.0,,,600.0,595.0,,23.0,27.0,21.0,27.0,22.0,,,,25.0,24.0,25.0,,1202.0
84,965,University of Illinois at Chicago,Chicago,IL,60607,www.uic.edu,0.7708,13704.0,26560.0,530.0,650.0,550.0,680.0,480.0,590.0,590.0,615.0,,20.0,26.0,20.0,26.0,20.0,,,,23.0,23.0,23.0,,1150.0
85,1319,University of Kentucky,Lexington,KY,40506-0032,www.uky.edu,0.9577,11942.0,28046.0,550.0,660.0,530.0,670.0,490.0,610.0,605.0,600.0,,22.0,28.0,22.0,30.0,21.0,,7.0,8.0,25.0,26.0,25.0,8.0,1213.0
86,1432,University of Maine,Orono,ME,04469,www.umaine.edu/,0.9226,10902.0,30282.0,530.0,630.0,520.0,620.0,460.0,578.0,580.0,570.0,,22.0,27.0,21.0,27.0,20.0,,,,25.0,24.0,24.0,,1157.0
87,1570,University of Massachusetts-Amherst,Amherst,MA,01003,www.umass.edu,0.5758,15411.0,33477.0,590.0,670.0,590.0,690.0,,,630.0,640.0,,26.0,31.0,,,,,,,29.0,,,,1288.0
88,1981,The University of Montana,Missoula,MT,59812,www.umt.edu,0.9264,7063.0,24943.0,540.0,650.0,520.0,620.0,480.0,600.0,595.0,570.0,,21.0,26.0,20.0,26.0,19.0,,6.0,8.0,24.0,23.0,23.0,7.0,1165.0
89,2028,University of Nevada-Las Vegas,Las Vegas,NV,89154,www.unlv.edu/,0.8107,7665.0,21853.0,520.0,620.0,510.0,620.0,420.0,530.0,570.0,565.0,,19.0,24.0,17.0,24.0,18.0,,,,22.0,21.0,22.0,,1100.0
90,2029,University of Nevada-Reno,Reno,NV,89557,www.unr.edu/,0.8803,7599.0,21788.0,540.0,630.0,530.0,630.0,460.0,570.0,585.0,580.0,,21.0,26.0,20.0,26.0,19.0,,7.0,8.0,24.0,23.0,23.0,8.0,1165.0
91,3688,University of Richmond,University of Richmond,VA,23173,www.richmond.edu,0.3297,50910.0,50910.0,630.0,710.0,640.0,750.0,610.0,700.0,670.0,695.0,,29.0,32.0,,,,,,,31.0,,,,1394.0
92,450,University of San Diego,San Diego,CA,92110-2492,www.sandiego.edu,0.4979,47708.0,47708.0,590.0,670.0,590.0,680.0,540.0,650.0,630.0,635.0,,26.0,30.0,25.0,33.0,25.0,,8.0,9.0,28.0,29.0,27.0,9.0,1302.0
93,3603,University of Utah,Salt Lake City,UT,84112-9008,www.utah.edu,0.6615,8884.0,28127.0,560.0,670.0,550.0,680.0,490.0,620.0,615.0,615.0,,22.0,29.0,21.0,29.0,21.0,,7.0,9.0,26.0,25.0,25.0,8.0,1234.0
94,3600,Utah State University,Logan,UT,84322-1400,www.usu.edu,0.8908,7870.0,21520.0,490.0,600.0,510.0,620.0,,,545.0,565.0,,21.0,27.0,20.0,28.0,19.0,,,,24.0,24.0,23.0,,1177.0
95,2451,Vassar College,Poughkeepsie,NY,12604,www.vassar.edu,0.2378,55210.0,55210.0,670.0,750.0,660.0,750.0,660.0,750.0,710.0,705.0,,30.0,33.0,31.0,35.0,27.0,,8.0,10.0,32.0,33.0,30.0,9.0,1429.0
96,2454,Wagner College,Staten Island,NY,10301-4495,www.wagner.edu,0.6969,45380.0,45380.0,,,,,,,,,,,,,,,,,,,,,,
97,3174,Washington & Jefferson College,Washington,PA,15301,www.washjeff.edu,0.4785,46628.0,46628.0,,,,,,,,,,,,,,,,,,,,,,
98,514,Westmont College,Santa Barbara,CA,93108-1089,www.westmont.edu,0.8471,44044.0,44044.0,580.0,700.0,550.0,680.0,520.0,640.0,640.0,615.0,,23.0,30.0,23.0,33.0,23.0,,7.0,10.0,27.0,28.0,26.0,9.0,1262.0
99,1960,William Jewell College,Liberty,MO,64068-1896,www.jewell.edu,0.4763,33620.0,33620.0,440.0,630.0,550.0,610.0,,,535.0,580.0,,23.0,28.0,22.0,28.0,21.0,,,,26.0,25.0,24.0,,1226.0
100,1627,Williams College,Williamstown,MA,01267,https://www.williams.edu,0.1458,53550.0,53550.0,710.0,780.0,690.0,790.0,670.0,780.0,745.0,740.0,,31.0,35.0,32.0,35.0,29.0,,,,33.0,34.0,32.0,,1493.0
